Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon;Lat;Lon
503979;Reisezentrum Aachen Hbf;;;Bahnhofplatz 2a;52064;Aachen;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;08:00-20:30;;;08:00-20:30;;;50768944;6090200;50.768944;6.0902
503862;Reisezentrum Bad Oeynhausen;;;Herforder Straße 80;32545;Bad Oeynhausen;;Reisezentrum;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:30-14:00;;;;;;52204647;8796628;52.204647;8.796628
503490;Reisezentrum Bielefeld Hbf;;;Am Bahnhof 1;33602;Bielefeld;;Reisezentrum;06:15-20:00;;;06:15-20:00;;;06:15-20:00;;;06:15-20:00;;;06:15-20:00;;;08:00-18:30;;;09:00-20:00;;;52029393;8533873;52.029393;8.533873
503508;Reisezentrum Bochum Hbf;;;Kurt-Schumacher-Platz 13-15;44787;Bochum;;Reisezentrum;07:00-19:30;;;07:00-19:30;;;07:00-19:30;;;07:00-19:30;;;07:00-19:30;;;08:30-18:00;;;09:30-18:30;;;51479568;7222931;51.479568;7.222931
503581;Reisezentrum Bonn Hbf;;;Am Hauptbahnhof 1;53111;Bonn;;Reisezentrum;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;06:00-21:00;;;07:00-20:00;;;08:00-21:00;;;50732430;7097118;50.73243;7.097118
503607;Reisezentrum Bonn-Bad Godesberg;;;Moltkestr. 43;53173;Bonn;;Reisezentrum;06:00-17:00;;;08:00-18:00;;;08:00-18:00;;;10:00-20:00;;;08:00-18:00;;;09:00-12:00;12:45-15:45;;10:00-13:00;13:30-16:30;;50683366;7159422;50.683366;7.159422
503599;Reisezentrum Bonn-Beuel;;;Beueler Bahnhofsplatz 2;53225;Bonn;;Reisezentrum;07:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:45;;09:00-12:15;13:00-16:45;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-16:00;;;;;;;;50739648;7126522;50.739648;7.126522
504159;Reisezentrum Brühl;;;Max-Ernst-Allee 2;50321;Brühl;;Reisezentrum;07:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-16:30;;;;;;;;50828400;6913110;50.8284;6.91311
503847;Reisezentrum Bünde (Westf);;;Bahnhofstr. 82;32257;Bünde (Westf.);;Reisezentrum;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-13:00;14:00-18:00;;08:00-12:30;;;;;;52201321;8573434;52.201321;8.573434
503813;Reisezentrum Coesfeld (Westf);;;Bahnhofstr. 1;48653;Coesfeld;;Reisezentrum;06:45-19:30;;;06:45-19:30;;;08:15-12:00;13:00-18:15;;08:15-12:00;13:00-18:15;;06:45-18:15;;;08:15-13:15;;;;;;51938458;7165607;51.938458;7.165607
503854;Reisezentrum Detmold;;;Bahnhofstraße 8;32756;Detmold;;Reisezentrum;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;;;;;;;51939951;8873809;51.939951;8.873809
504019;Reisezentrum Dinslaken;;;Bahnhofsplatz 1;46535;Dinslaken;;Reisezentrum;08:30-12:00;13:00-17:00;;08:30-12:00;13:00-17:00;;08:30-12:00;13:00-17:00;;08:30-12:00;13:00-17:00;;08:30-12:00;13:00-17:00;;09:00-13:00;;;;;;51567060;6737280;51.56706;6.73728
504191;Reisezentrum Dortmund Hbf;;;Königswall 15;44137;Dortmund;;Reisezentrum;07:00-20:30;;;07:00-20:30;;;07:00-20:30;;;07:00-20:30;;;07:00-20:30;;;08:00-19:30;;;08:00-19:30;;;51517668;7459331;51.517668;7.459331
504217;Reisezentrum Duisburg Hbf;;;Mercatorstr. 17;47051;Duisburg;;Reisezentrum;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;07:00-20:00;;;08:00-17:00;;;10:00-19:00;;;51430142;6773444;51.430142;6.773444
505404;Reisezentrum Dülmen;;;Bahnhofstr. 50;48249;Dülmen;;Reisezentrum;07:00-12:30;13:30-19:00;;07:00-12:30;13:30-19:00;;07:00-12:30;13:30-19:00;;07:00-12:30;13:30-19:00;;07:00-12:30;13:30-19:00;;08:00-11:30;12:00-14:00;;;;;51827963;7293373;51.827963;7.293373
504142;Reisezentrum Düren;;;Hauptbahnhof 1;52351;Düren;;Reisezentrum;06:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-20:00;;;08:00-18:00;;;08:00-12:00;12:30-14:30;;;;;50808568;6480880;50.808568;6.48088
503912;Reisezentrum Düsseldorf Flughafen;;;Flughafenstr. 120;40474;Düsseldorf;;Reisezentrum;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:00-21:00;;;07:30-20:00;;;10:00-14:30;15:00-18:30;;51275639;6766477;51.275639;6.766477
503904;Reisezentrum Düsseldorf Hbf;;;Konrad-Adenauer-Platz 14;40210;Düsseldorf;;Reisezentrum;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;07:00-22:00;;;07:00-22:00;;;51220688;6792033;51.220688;6.792033
503953;Reisezentrum Erkelenz;;;Anton-Raky-Allee 1;41812;Erkelenz;;Reisezentrum;07:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-16:30;;;;;;;;51077157;6321439;51.077157;6.321439
503540;Reisezentrum Essen Hbf;;;Freiheit 3;45127;Essen;;Reisezentrum;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;06:30-20:00;;;07:30-19:00;;;09:00-19:00;;;51451935;7014516;51.451935;7.014516
504118;Reisezentrum Euskirchen;;;Oststraße 2a;53879;Euskirchen;;Reisezentrum;06:00-18:00;;;09:00-17:30;;;09:00-17:30;;;09:00-20:00;;;09:00-17:30;;;08:00-16:30;;;08:00-16:30;;;50658475;6793283;50.658475;6.793283
503961;Reisezentrum Geilenkirchen;;;Bahnhofstr. 1;52511;Geilenkirchen;;Reisezentrum;07:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-16:30;;;;;;;;50962221;6125833;50.962221;6.125833
504035;Reisezentrum Gelsenkirchen Hbf;;;Bahnhofsvorplatz 10;45879;Gelsenkirchen;;Reisezentrum;08:30-18:30;;;08:30-18:30;;;08:30-18:30;;;08:30-18:30;;;08:30-18:30;;;09:00-16:00;;;10:00-15:00;;;51506013;7102582;51.506013;7.102582
503870;Reisezentrum Gütersloh Hbf;;;Willy-Brandt-Platz 2;33330;Gütersloh;;Reisezentrum;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;09:00-14:30;;;;;;51908030;8384364;51.90803;8.384364
503797;Reisezentrum Hagen Hbf;;;Berliner Platz 1;58089;Hagen;;Reisezentrum;08:00-18:45;;;08:00-18:45;;;08:00-18:45;;;08:00-18:45;;;08:00-18:45;;;08:00-17:00;;;10:00-16:00;;;51362403;7462359;51.362403;7.462359
503821;Reisezentrum Haltern am See;;;Roost-Warendin-Platz 1;45721;Haltern am See;;Reisezentrum;08:30-12:00;13:00-16:30;;08:30-12:00;13:00-16:30;;08:30-12:00;13:00-16:30;;08:30-12:00;13:00-16:30;;08:30-12:00;13:00-16:30;;;;;;;;51738000;7184420;51.738;7.18442
504084;Reisezentrum Hamm (Westf);;;Willi-Brandt-Platz 1b;59065;Hamm (Westf.);;Reisezentrum;06:30-19:30;;;06:30-19:30;;;06:30-19:30;;;06:30-19:30;;;06:30-19:30;;;08:30-17:00;;;09:30-19:00;;;51678733;7809127;51.678733;7.809127
503888;Reisezentrum Herford;;;Bahnhofplatz 3;32052;Herford;;Reisezentrum;07:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-18:00;;;08:00-12:30;;;;;;52118962;8664774;52.118962;8.664774
503524;Reisezentrum Herne;;;Bahnhofsplatz 1;44629;Herne;;Reisezentrum;09:00-12:00;13:00-16:30;;09:00-12:00;13:00-16:30;;09:00-12:00;13:00-16:30;;09:00-12:00;13:00-16:30;;09:00-12:00;13:00-16:30;;09:30-13:00;;;;;;51544821;7216962;51.544821;7.216962
504134;Reisezentrum Horrem;;;Bahnhofsstr. 9;50169;Horrem;;Reisezentrum;07:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-16:30;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-16:30;;;;;;;;50915441;6712586;50.915441;6.712586
503698;Reisezentrum Köln Hbf;;;Trankgasse 11;50667;Köln;;Reisezentrum;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;06:00-22:00;;;07:00-21:00;;;07:00-21:00;;;50942694;6957836;50.942694;6.957836
505412;Reisezentrum Köln/Bonn Flughafen;;;Terminal 2;51147;Köln;;Reisezentrum;09:00-12:30;13:00-18:00;;09:00-12:30;13:00-18:00;;09:00-12:30;13:00-18:00;;09:00-12:30;13:00-18:00;;09:00-12:30;13:00-18:00;;;;;;;;50879340;7118170;50.87934;7.11817
503482;Reisezentrum Köln-Messe/Deutz;;;Ottoplatz 7;50679;Köln;;Reisezentrum;06:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-19:00;;;07:00-20:00;;;08:00-17:00;;;10:00-18:00;;;50940269;6975170;50.940269;6.97517
505388;Reisezentrum Köln-Mülheim;;;Montanusstraße;51065;Köln;;Reisezentrum;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;08:30-12:00;12:30-16:00;;;;;;;;50958670;7013354;50.95867;7.013354
504209;Reisezentrum Krefeld Hbf;;;Am Hauptbahnhof 1;47798;Krefeld;;Reisezentrum;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-14:30;;;;;;51326428;6569083;51.326428;6.569083
504126;Reisezentrum Leverkusen Mitte;;;Heinrich-v.-Stephan-Str. 1;51373;Leverkusen;;Reisezentrum;07:00-11:30;12:15-15:00;;09:00-12:15;13:00-17:00;;09:00-12:15;13:00-17:00;;09:00-12:15;13:00-18:00;;09:00-12:15;13:00-18:00;;;;;;;;51031429;6990982;51.031429;6.990982
